arm,unit,design,base,seed_index,n_mutations,stored_ipsae_min,ipsae_full,ipsae_no_mut,ipsae_interface
negsteer,design_34_seq_0,design_01_s2,design_01,2.0,3,0.0,0.0,0.0,0.0
negsteer,design_34_seq_0,design_01_s0,design_01,0.0,3,0.0,0.0,0.0,0.0
negsteer,design_34_seq_0,design_01_s1,design_01,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_34_seq_0,design_02_s0,design_02,0.0,3,0.2968,0.2968,0.2968,0.0165
negsteer,design_34_seq_0,design_02_s1,design_02,1.0,3,0.2129,0.2129,0.2129,0.0111
negsteer,design_34_seq_0,design_02_s2,design_02,2.0,3,0.3122,0.3122,0.3122,0.0158
negsteer,design_35_seq_0,initial,initial,0.0,0,0.1122,0.1122,0.1122,0.0059
negsteer,design_35_seq_0,initial_s1,initial,1.0,0,0.1253,0.1253,0.1253,0.0065
negsteer,design_35_seq_0,initial_s2,initial,2.0,0,0.1142,0.1142,0.1142,0.0054
negsteer,design_38_seq_0,initial,initial,,0,0.3668,0.3668,0.3668,0.0322
negsteer,design_38_seq_0,design_00_s1,design_00,1.0,3,0.0028,0.0028,0.0028,0.0028
negsteer,design_38_seq_0,design_02_s0,design_02,0.0,3,0.4595,0.4595,0.4553,0.0409
negsteer,design_38_seq_0,design_02_s1,design_02,1.0,3,0.4616,0.4616,0.4616,0.0349
negsteer,design_38_seq_0,design_00_s2,design_00,2.0,3,0.0054,0.0054,0.0054,0.0038
negsteer,design_38_seq_0,design_01_s2,design_01,2.0,3,0.4725,0.4725,0.4725,0.0586
negsteer,design_38_seq_0,design_01_s1,design_01,1.0,3,0.3725,0.3725,0.3725,0.0376
negsteer,design_38_seq_0,design_00_s0,design_00,0.0,3,0.0029,0.0029,0.0029,0.0029
negsteer,design_38_seq_0,design_02_s2,design_02,2.0,3,0.4585,0.4585,0.4585,0.0447
negsteer,design_38_seq_0,design_01_s0,design_01,0.0,3,0.3881,0.3881,0.3881,0.0346
negsteer,design_39_seq_0,initial,initial,0.0,0,0.4932,0.4932,0.4932,0.032
negsteer,design_39_seq_0,initial_s1,initial,1.0,0,0.403,0.403,0.403,0.0211
negsteer,design_39_seq_0,initial_s2,initial,2.0,0,0.5197,0.5197,0.5197,0.0389
negsteer,design_39_seq_1,initial,initial,,0,0.3367,0.3367,0.3367,0.0158
negsteer,design_39_seq_1,design_00_s1,design_00,1.0,3,0.8894,0.8894,0.8838,0.2922
negsteer,design_39_seq_1,design_00_s2,design_00,2.0,3,0.8667,0.8667,0.8601,0.2607
negsteer,design_39_seq_1,design_00_s0,design_00,0.0,3,0.8818,0.8818,0.8758,0.2721
negsteer,design_39_seq_1,design_02_s0,design_02,0.0,3,0.8469,0.8469,0.8466,0.2406
negsteer,design_39_seq_1,design_02_s1,design_02,1.0,3,0.7714,0.7714,0.7714,0.1759
negsteer,design_39_seq_1,design_01_s2,design_01,2.0,3,0.6475,0.6475,0.6475,0.0861
negsteer,design_39_seq_1,design_01_s1,design_01,1.0,3,0.763,0.763,0.7598,0.1552
negsteer,design_39_seq_1,design_01_s0,design_01,0.0,3,0.9078,0.9078,0.9048,0.3458
negsteer,design_39_seq_1,design_02_s2,design_02,2.0,3,0.7996,0.7996,0.7996,0.1919
negsteer,design_40_seq_0,initial,initial,0.0,0,0.8051,0.8051,0.8051,0.1751
negsteer,design_40_seq_0,initial_s2,initial,2.0,0,0.7754,0.7754,0.7754,0.1508
negsteer,design_40_seq_0,initial_s1,initial,1.0,0,0.7498,0.7498,0.7498,0.1275
negsteer,design_40_seq_1,initial,initial,0.0,0,0.4254,0.4254,0.4254,0.0289
negsteer,design_40_seq_1,initial_s2,initial,2.0,0,0.3889,0.3889,0.3889,0.0226
negsteer,design_40_seq_1,initial_s1,initial,1.0,0,0.4284,0.4284,0.4284,0.0297
negsteer,design_42_seq_0,initial,initial,0.0,0,0.2821,0.2821,0.2821,0.0187
negsteer,design_42_seq_0,initial_s2,initial,2.0,0,0.3183,0.3183,0.3183,0.023
negsteer,design_42_seq_0,initial_s1,initial,1.0,0,0.3185,0.3185,0.3185,0.0202
negsteer,design_42_seq_1,initial,initial,,0,0.0029,0.0029,0.0029,0.0026
negsteer,design_42_seq_1,design_02_s2,design_02,2.0,6,0.7544,0.7544,0.7544,0.181
negsteer,design_42_seq_1,design_01_s2,design_01,2.0,6,0.7346,0.7346,0.731,0.1455
negsteer,design_42_seq_1,design_01_s1,design_01,1.0,6,0.6063,0.6063,0.592,0.0872
negsteer,design_42_seq_1,design_00_s2,design_00,2.0,6,0.671,0.671,0.6584,0.11
negsteer,design_42_seq_1,design_00_s1,design_00,1.0,6,0.6334,0.6334,0.6216,0.0852
negsteer,design_42_seq_1,design_00_s0,design_00,0.0,6,0.6954,0.6954,0.6845,0.1235
negsteer,design_42_seq_1,design_01_s0,design_01,0.0,6,0.6897,0.6897,0.6897,0.1185
negsteer,design_42_seq_1,design_02_s1,design_02,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_42_seq_1,design_02_s0,design_02,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_43_seq_0,initial,initial,,0,0.0,0.0,0.0,0.0
negsteer,design_43_seq_0,design_00_s1,design_00,1.0,6,0.1251,0.1251,0.1251,0.0056
negsteer,design_43_seq_0,design_00_s2,design_00,2.0,6,0.0915,0.0915,0.0915,0.0039
negsteer,design_43_seq_0,design_00_s0,design_00,0.0,6,0.0776,0.0776,0.0776,0.0038
